Trade #,Signal Timestamp,Signal Date,Daily Source Date,4H State Timestamp,Entry Timestamp,Exit Timestamp,Direction,Signal Close,Entry Price,Exit Price,Signal 1H ATR14,Initial SL,Exit/Final Stop,High-Water Mark,Daily Close,Daily EMA50,Daily EMA200,Daily Trend OK,4H EMA50,4H EMA100,4H RSI14,4H ATR14,4H EMA Spread,0.15×ATR Threshold,4H Separation OK,4H Breakout (20 prior incl. used 4H),4H Previous Active Breakout,1H Previous Close,Fresh Breakout OK,Initial Risk Points,Gross Points,Gross P&L (₹),Charges (₹),Net P&L (₹),R Multiple,Cumulative Net (₹),Peak Net (₹),Drawdown (₹),Exit Reason,Holding Bars,Daily EMA Fast,Daily EMA Slow,4H EMA Fast,4H EMA Slow,4H RSI Min,Breakout Length,Spread Min ATR,1H ATR Length,Initial SL ATR,TSL ATR,Baseline Slippage Points/Side,Contract Qty (g),₹ per Price Point / Lot
27,2019-06-20 09:00:00+05:30,2019-06-20,2019-06-19,2019-06-19T21:00:00+05:30,2019-06-20 10:00:00+05:30,2019-06-21 12:00:00+05:30,LONG,33600.0,33610.0,33860.38630469623,117.65198915499016,33374.69602169002,33870.38630469623,34297.0,32976.0,32224.188730173984,31742.08203587509,True,32702.339571155488,32425.413739354422,56.331986177083905,120.1023181449516,276.9258318010652,18.01534772174274,True,33241.0,33241.0,32970.0,True,235.30397830998118,250.38630469622876,2503.8630469622876,108.56191587881658,2395.301131083471,1.0179603202152347,9042.460859342045,9042.460859342045,0.0,intrabar_stop,17,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
28,2019-06-25 09:00:00+05:30,2019-06-25,2019-06-24,2019-06-24T21:00:00+05:30,2019-06-25 10:00:00+05:30,2019-06-25 22:00:00+05:30,LONG,34537.0,34541.0,34315.71670330585,107.64164834707407,34325.71670330585,34325.71670330585,34555.0,34214.0,32426.04250187514,31808.969426503685,True,33180.320475255525,32749.097038061114,86.43812355679019,184.77365656957892,431.2234371944105,27.716048485436836,True,34297.0,34297.0,34244.0,True,215.2832966941496,-225.2832966941496,-2252.832966941496,109.63040831358998,-2362.4633752550862,-1.0973742094870507,6679.997484086959,9042.460859342045,-2362.4633752550862,intrabar_stop,12,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
29,2019-07-03 09:00:00+05:30,2019-07-03,2019-07-02,2019-07-02T21:00:00+05:30,2019-07-03 10:00:00+05:30,2019-07-03 18:00:00+05:30,LONG,34415.0,34425.0,34191.20065161709,111.89967419145748,34201.20065161709,34201.20065161709,34425.0,34007.0,32747.454027488628,31933.159693431826,True,33625.11285616338,33198.548158444304,57.47203105194957,193.6167737667623,426.56469771907723,29.042516065014343,True,34270.0,34495.0,34015.0,True,223.79934838291229,-233.79934838291229,-2337.993483829123,109.40861812830212,-2447.4021019574247,-1.0935698069013193,4232.595382129534,9042.460859342045,-4809.865477212511,intrabar_stop,8,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
30,2019-07-05 13:00:00+05:30,2019-07-05,2019-07-04,2019-07-05T09:00:00+05:30,2019-07-05 14:00:00+05:30,2019-07-05 18:00:00+05:30,LONG,34891.0,34902.0,34636.47810892652,127.76094553673983,34646.47810892652,34646.47810892652,34902.0,34184.0,32859.23380238377,31978.074478839484,True,33805.14289611203,33367.39189611372,58.63401092390383,166.8393117439404,437.7509999983158,25.02589676159106,True,34449.0,34449.0,34201.0,True,255.52189107347658,-265.5218910734766,-2655.218910734766,110.23333859691371,-2765.4522493316795,-1.0822760577239388,1467.1431327978548,9042.460859342045,-7575.31772654419,intrabar_stop,4,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
31,2019-07-17 23:00:00+05:30,2019-07-17,2019-07-16,2019-07-17T17:00:00+05:30,2019-07-18 09:00:00+05:30,2019-07-18 12:00:00+05:30,LONG,35070.0,35110.0,34949.19414873498,75.40292563250968,34959.19414873498,34959.19414873498,35120.0,34738.0,33356.31529618642,32184.88494359495,True,34481.2881856285,34024.52986472354,63.73330014669348,153.32782174790665,456.7583209049626,22.999173262185998,True,34995.0,34995.0,34989.0,True,150.80585126501683,-160.80585126501683,-1608.0585126501683,110.7480247626624,-1718.8065374128307,-1.1397479096433114,-251.6634046149759,9042.460859342045,-9294.124263957021,intrabar_stop,3,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
32,2019-07-18 23:00:00+05:30,2019-07-18,2019-07-17,2019-07-18T17:00:00+05:30,2019-07-19 09:00:00+05:30,2019-07-19 20:00:00+05:30,LONG,35140.0,35190.0,35083.57434650167,81.36490625229592,35027.27018749541,35093.57434650167,35380.0,35039.0,33422.30293163009,32213.284098385047,True,34558.4590042187,34099.80436859865,62.3191762609146,157.7253206201052,458.6546356200488,23.65879809301578,True,35120.0,35120.0,35074.0,True,162.7298125045927,-106.42565349832876,-1064.2565349832876,110.96442977373724,-1175.2209647570248,-0.722191555848967,-1426.8843693720007,9042.460859342045,-10469.345228714046,intrabar_stop,11,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
33,2019-08-02 12:00:00+05:30,2019-08-02,2019-08-01,2019-08-01T21:00:00+05:30,2019-08-02 13:00:00+05:30,2019-08-08 12:00:00+05:30,LONG,35629.0,35641.0,37542.674162360454,114.7234632444775,35411.553073511044,37552.674162360454,38125.0,35330.0,33983.02024464817,32503.367105388144,True,34889.62955091396,34588.8280306666,71.38718929084354,176.44520816635037,300.8015202473616,26.466781224952555,True,35570.0,35175.0,35516.0,False,229.4469264889558,1901.674162360454,19016.74162360454,114.40998213088423,18902.331641473655,8.238215229430628,17475.447272101654,17475.447272101654,0.0,intrabar_stop,59,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
34,2019-08-23 22:00:00+05:30,2019-08-23,2019-08-22,2019-08-23T17:00:00+05:30,2019-08-23 23:00:00+05:30,2019-08-26 15:00:00+05:30,LONG,38303.0,38307.0,38394.47135297686,114.7192825785504,38077.5614348429,38404.47135297686,38869.0,37779.0,35469.15980823743,33145.24429079298,True,37262.95504311966,36540.574790584804,69.40268615647123,219.64498995518088,722.3802525348583,32.94674849327713,True,38283.0,37800.0,38238.0,False,229.43856515709922,87.47135297686327,874.7135297686327,116.87839050026668,757.835139268366,0.3302998075975011,18233.28241137002,18233.28241137002,0.0,intrabar_stop,7,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
35,2019-08-29 11:00:00+05:30,2019-08-29,2019-08-28,2019-08-28T21:00:00+05:30,2019-08-29 12:00:00+05:30,2019-08-29 13:00:00+05:30,LONG,38945.0,38955.0,38731.17356512494,106.91321743752982,38741.17356512494,38741.17356512494,38998.0,38772.0,35925.38508518623,33357.12417050099,True,37799.37199345559,37007.1966880931,67.81868055860139,220.29910458517398,792.1753053624925,33.044865687776095,True,38879.0,38879.0,38846.0,True,213.82643487505993,-223.82643487505993,-2238.2643487505993,117.64796129971211,-2355.9123100503116,-1.101787209531359,15877.370101319708,18233.28241137002,-2355.912310050311,intrabar_stop,1,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
36,2019-09-02 22:00:00+05:30,2019-09-02,2019-08-30,2019-09-02T17:00:00+05:30,2019-09-02 23:00:00+05:30,2019-09-05 15:00:00+05:30,LONG,39005.0,39015.0,39407.12706517969,115.5099521833112,38783.98009563338,39417.12706517969,39856.0,38657.0,36126.72494791701,33459.793972327665,True,38081.003470677824,37290.907168822836,61.4699717438634,251.27726719337258,790.0963018549883,37.691590079005884,True,38998.0,38998.0,38975.0,True,231.01990436662163,392.12706517968763,3921.2706517968763,118.56257375871373,3802.7080780381625,1.6460521393011138,19680.07817935787,19680.07817935787,0.0,intrabar_stop,37,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
37,2019-09-25 13:00:00+05:30,2019-09-25,2019-09-24,2019-09-25T09:00:00+05:30,2019-09-25 14:00:00+05:30,2019-09-25 20:00:00+05:30,LONG,38143.0,38153.0,37981.45581447394,80.77209276302824,37991.45581447394,37991.45581447394,38170.0,38091.0,37154.90093655978,34213.75451152866,True,37981.15213447853,37867.07684792045,58.41994095399927,176.70036089616656,114.07528655807982,26.505054134424984,True,38140.0,38140.0,38075.0,True,161.54418552605784,-171.54418552605784,-1715.4418552605784,116.25994551621564,-1831.701800776794,-1.1338704607733046,17848.376378581077,19680.07817935787,-1831.7018007767947,intrabar_stop,6,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
38,2019-10-24 22:00:00+05:30,2019-10-24,2019-10-23,2019-10-24T17:00:00+05:30,2019-10-24 23:00:00+05:30,2019-10-25 20:00:00+05:30,LONG,38420.0,38430.0,38460.522870774155,57.061156275517924,38315.87768744896,38470.522870774155,38690.0,38124.0,37619.15587255544,34868.93829599906,True,38101.93357942452,38025.31081301691,62.19102291937633,134.51588770427364,76.62276640760683,20.177383155641046,True,38383.0,38271.0,38380.0,False,114.12231255103688,30.522870774155308,305.2287077415531,117.02726610451519,188.20144163703787,0.16491204693461842,18036.577820218114,19680.07817935787,-1643.500359139758,intrabar_stop,12,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
39,2019-12-24 20:00:00+05:30,2019-12-24,2019-12-23,2019-12-24T13:00:00+05:30,2019-12-24 21:00:00+05:30,2019-12-30 16:00:00+05:30,LONG,38477.0,38489.0,38770.26252826991,51.92232317934165,38385.15535364132,38780.26252826991,38995.0,38231.0,37896.42662976622,35959.001702875416,True,37967.226982777844,37947.456246023525,72.76422737848168,110.52887401269018,19.770736754318932,16.579331101903527,True,38376.0,38356.0,38350.0,True,103.84464635868062,281.2625282699082,2812.625282699082,117.46237020172649,2695.1629124973556,2.595379739835823,20731.74073271547,20731.74073271547,0.0,intrabar_stop,40,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
40,2019-12-31 09:00:00+05:30,2019-12-31,2019-12-30,2019-12-30T21:00:00+05:30,2019-12-31 10:00:00+05:30,2020-01-01 09:00:00+05:30,LONG,39116.0,39127.0,38949.00242746443,88.18060372893147,38950.63879254214,38959.00242746443,39190.0,38823.0,38030.3346061267,36070.36078351959,True,38312.878756479266,38147.571835371185,67.80570929854599,132.26336229826103,165.30692110808013,19.839504344739154,True,38995.0,38995.0,38806.0,True,176.3612074578632,-177.9975725355689,-1779.975725355689,118.02024965507493,-1897.995975010764,-1.0761981063575103,18833.744757704706,20731.74073271547,-1897.9959750107628,intrabar_stop,14,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
41,2020-01-02 19:00:00+05:30,2020-01-02,2020-01-01,2020-01-02T13:00:00+05:30,2020-01-02 20:00:00+05:30,2020-01-06 20:00:00+05:30,LONG,39252.0,39265.0,40590.46249309834,58.94685759023226,39147.106284819536,40600.46249309834,41049.0,39040.0,38109.516105078896,36129.56796584638,True,38528.69108378404,38288.696598112416,70.12547704658324,136.84987944336987,239.99448567162472,20.52748191650548,True,39190.0,39190.0,39190.0,True,117.89371518046391,1325.462493098341,13254.62493098341,120.23734783172277,13134.387583151687,11.140871727595007,31968.13234085639,31968.13234085639,0.0,intrabar_stop,30,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
42,2020-01-08 09:00:00+05:30,2020-01-08,2020-01-07,2020-01-07T21:00:00+05:30,2020-01-08 10:00:00+05:30,2020-01-08 14:00:00+05:30,LONG,41124.0,41140.0,40820.27526383579,154.86236808210532,40830.27526383579,40830.27526383579,41248.0,40635.0,38407.12084682701,36285.45470751416,True,39285.12511903829,38770.863177946056,77.29265935006174,239.18024113872195,514.2619410922343,35.87703617080829,True,41049.0,41049.0,40635.0,True,309.72473616420757,-319.72473616420757,-3197.2473616420757,121.49040083959194,-3318.7377624816677,-1.071512015340668,28649.394578374722,31968.13234085639,-3318.737762481669,intrabar_stop,4,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
43,2020-01-20 12:00:00+05:30,2020-01-20,2020-01-17,2020-01-17T21:00:00+05:30,2020-01-20 13:00:00+05:30,2020-01-21 14:00:00+05:30,LONG,39960.0,39969.0,39942.279976429665,65.02889282257081,39838.94221435486,39952.279976429665,40150.0,39920.0,38770.25258512301,36550.846127626435,True,39606.1164953,39234.08977186508,60.46058309481959,177.96053943811583,372.02672343491577,26.694080915717375,True,39959.0,39918.0,39952.0,False,130.05778564514185,-26.720023570334888,-267.2002357033489,119.74715598357045,-386.94739168691933,-0.2975195908245677,28262.4471866878,31968.13234085639,-3705.68515416859,intrabar_stop,16,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
44,2020-01-23 21:00:00+05:30,2020-01-23,2020-01-22,2020-01-23T17:00:00+05:30,2020-01-23 22:00:00+05:30,2020-01-24 09:00:00+05:30,LONG,40226.0,40234.0,40044.92789388848,89.5360530557603,40054.92789388848,40054.92789388848,40274.0,39893.0,38898.42143962079,36649.94427118471,True,39744.76678219513,39410.328146366766,61.84869877613986,164.08667325703647,334.4386358283664,24.61300098855547,True,40150.0,40150.0,40082.0,True,179.07210611151822,-189.07210611151822,-1890.7210611151822,120.01603210664825,-2010.7370932218305,-1.1228644912288193,26251.710093465972,31968.13234085639,-5716.422247390419,intrabar_stop,2,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
45,2020-01-24 20:00:00+05:30,2020-01-24,2020-01-23,2020-01-24T13:00:00+05:30,2020-01-24 21:00:00+05:30,2020-01-28 13:00:00+05:30,LONG,40340.0,40343.0,40382.15465620161,100.34531512218803,40142.309369755625,40392.15465620161,40721.0,40255.0,38951.62059885135,36685.81547246645,True,39783.822912443,39450.000743560886,55.3556181390604,171.28003686068118,333.82216888211406,25.692005529102175,True,40274.0,40274.0,40010.0,True,200.69063024437492,39.154656201608304,391.54656201608304,120.51248778721857,271.0340742288645,0.13505068667074016,26522.744167694837,31968.13234085639,-5445.388173161555,intrabar_stop,22,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
46,2020-01-30 21:00:00+05:30,2020-01-30,2020-01-29,2020-01-30T17:00:00+05:30,2020-01-30 22:00:00+05:30,2020-01-31 09:00:00+05:30,LONG,40769.0,40770.0,40623.74716543984,93.59265523886927,40582.81468952226,40633.74716543984,40990.0,40321.0,39158.13577333162,36829.47367646782,True,40098.50559772784,39729.26229345686,66.13286961611118,179.00287037043927,369.24330427098175,26.85043055556589,True,40721.0,40721.0,40661.0,True,187.18531047774013,-146.2528345601604,-1462.528345601604,121.04539341745199,-1583.5737390190561,-0.8459925273929938,24939.17042867578,31968.13234085639,-7028.96191218061,intrabar_stop,2,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
47,2020-01-31 21:00:00+05:30,2020-01-31,2020-01-30,2020-01-31T17:00:00+05:30,2020-01-31 22:00:00+05:30,2020-02-03 12:00:00+05:30,LONG,41019.0,41026.0,40798.55877033005,108.72061483497721,40808.55877033005,40808.55877033005,41026.0,40897.0,39226.32652731862,36869.94657520943,True,40200.92867075007,39810.8984762591,64.96063502580199,209.82767546465317,390.0301944909734,31.474151319697974,True,40990.0,40990.0,40911.0,True,217.441229669952,-227.441229669952,-2274.41229669952,121.4040863804163,-2395.8163830799363,-1.1018224955389,22543.354045595846,31968.13234085639,-9424.778295260545,intrabar_stop,5,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
48,2020-02-14 18:00:00+05:30,2020-02-14,2020-02-13,2020-02-14T13:00:00+05:30,2020-02-14 19:00:00+05:30,2020-02-17 13:00:00+05:30,LONG,40661.0,40687.0,40683.265897674,55.22252696594123,40576.554946068114,40693.265897674,40912.0,40580.0,39626.97527481456,37209.83382984219,True,40385.90309209297,40142.23467792844,59.74776516538649,147.48013282907766,243.668414164531,22.12201992436165,True,40648.0,40635.0,40620.0,True,110.44505393188592,-3.734102326001448,-37.34102326001448,121.08108038883964,-158.42210364885412,-0.1434397449310467,22384.931941946994,31968.13234085639,-9583.200398909397,intrabar_stop,9,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
49,2020-02-18 13:00:00+05:30,2020-02-18,2020-02-17,2020-02-18T09:00:00+05:30,2020-02-18 14:00:00+05:30,2020-02-25 09:00:00+05:30,LONG,40960.0,40963.0,42989.022483451925,64.74383326842164,40833.51233346316,42999.022483451925,43585.0,40686.0,39715.67921369849,37280.56838928692,True,40483.26006721823,40226.20115785845,65.11884396842521,141.62849724630763,257.05890935978096,21.244274586946144,True,40912.0,40912.0,40892.0,True,129.48766653684288,2026.022483451925,20260.22483451925,124.23716636790544,20135.987668151345,15.550506242555612,42520.91961009834,42520.91961009834,0.0,intrabar_stop,62,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
50,2020-03-03 21:00:00+05:30,2020-03-03,2020-03-02,2020-03-03T17:00:00+05:30,2020-03-03 22:00:00+05:30,2020-03-06 20:00:00+05:30,LONG,43102.0,43130.0,44113.89560888996,230.7676851488505,42668.4646297023,44123.89560888996,44881.0,41946.0,40524.47941151501,37744.832323911265,True,41899.44641776575,41330.72308326285,59.7141256996797,432.76917997532996,568.7233345029017,64.91537699629949,True,43000.0,43000.0,42789.0,True,461.53537029770087,983.8956088899577,9838.956088899577,126.80927057851589,9712.14681832106,2.104312571332616,52233.0664284194,52233.0664284194,0.0,intrabar_stop,43,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
51,2020-04-07 09:00:00+05:30,2020-04-07,2020-04-03,2020-04-03T13:00:00+05:30,2020-04-07 10:00:00+05:30,2020-04-15 12:00:00+05:30,LONG,45070.0,45080.0,46102.732890619875,363.68743220677504,44352.62513558645,46112.732890619875,46782.0,43717.0,41662.13127713588,38704.14270198384,True,42377.67444512463,42048.38751299941,64.28058294060891,498.5806530134743,329.28693212521466,74.78709795202114,True,43900.0,43900.0,43670.0,True,727.3748644135485,1022.7328906198745,10227.328906198745,130.401190966273,10096.927715232472,1.3881326134871592,62329.99414365187,62329.99414365187,0.0,intrabar_stop,36,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
52,2020-04-16 11:00:00+05:30,2020-04-16,2020-04-15,2020-04-15T17:00:00+05:30,2020-04-16 12:00:00+05:30,2020-04-17 09:00:00+05:30,LONG,46900.0,46912.0,46521.139458356796,225.4172264789829,46461.16554704204,46531.139458356796,47290.0,46696.0,42391.20682209908,39043.175965759816,True,43743.83263474698,42884.2105909932,81.73377985454567,481.1414461249853,859.6220437537777,72.17121691874779,True,46782.0,46782.0,46676.0,True,450.83445295796264,-390.86054164320376,-3908.6054164320376,131.87907774874154,-4040.484494180779,-0.8962235400757023,58289.50964947109,62329.99414365187,-4040.4844941807823,intrabar_stop,5,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
